institution_code,institution_name
6946,Escuela Rural Comunidad Sta Carla
6953,Escuela Rural El Salto
6955,Escuela Rural Enrique Hevia Labbe
6956,Escuela Rural Alicia Mera Ovalle
6990,Escuela Rural El Llolly
7049,Centro Educativo Fernando Santivan
7050,Escuela Maria Alvarado Garay
7051,Escuela Rural Panguilelfun
7057,Escuela Rural Pitren
7058,Escuela Rural Huitag
7059,Escuela Manuel Anabalón Sáez
7061,Escuela Rural La Rinconada
7062,Escuela Rural Pullinque
7063,Escuela Rural Huellahue
7064,Escuela Basica Republica De Chile
3629,Escuela El Sauce
7065,Escuela Rural El Manzano
7069,Escuela Rural Coz Coz
7071,Escuela Rural Lago Azul
7072,Escuela Rural Llancahue
7074,Escuela Rural Cacique Aillapan
7078,Escuela Rural Carririne
7079,Escuela Rural Malchehue
7083,Escuela Rural Bocatoma
7085,Complejo Educacional Tierra De Esperanza
7088,Escuela Rural Cayumapu
7089,Escuela Rural Lago Neltume
7090,Escuela Rural Punahue
7092,Escuela Rural Rehueico
7095,Escuela Rural Milleuco
7100,Escuela Rural Llonquen
7101,Escuela Rural Cachin
7200,Liceo Rodulfo Amando Philippi
7202,Escuela Proyecto De Futuro
7203,Escuela Olegario Morales Oliva
7204,Escuela Nueva Aurora
7205,Escuela Roberto Ojeda Torres
7206,Escuela Rural 21 De Mayo
7212,Escuela Rural El Naranjo
7214,Escuela Rural Manao
7217,Escuela Rural Estrella De Chile
7220,Escuela Rural La Pena
7225,Escuela Rural Eduviges Schulz De Mohr
3614,Escuela Jose Rivas Hernandez
3615,Escuela Escritora Marcela Paz
3616,Escuela Benito Mancilla Perez
3618,Liceo Federico Albert Faupp
3619,Escuela Los Heroes
3621,Escuela San Ambrosio
3623,Escuela Carreras Cortas
3624,Escuela Los Peumos
3625,Escuela Gabriela Mistral
3626,Escuela Reloca
3823,Liceo Bicentenario Polivalente Jorge Alessandri Rodriguez
3829,Escuela Basica El Caracol
3831,Escuela Basica Paso Ancho
